dataset,model,num_params,converged,acc,batch_size,clip_norm,beta,gamma,sigma,eps_comp,eps_actual,delta,success_rate
cifar10,vgg19_bn,38958922,True,0.9396,128,4.0,0.001,124834.16519527016,3.1855753735998977,0.125,49091.971961602445,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.1,128,4.0,0.001,124834.16519527016,3.1855753735998977,0.125,49091.971961602445,1e-10,0.99
cifar10,vgg19_bn,38958922,True,0.9396,128,4.0,0.001,1248341.6519527016,3.1855753735998977,0.125,49091.971961602445,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.1,128,4.0,0.001,1248341.6519527016,3.1855753735998977,0.125,49091.971961602445,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9396,128,8.0,0.001,124834.16519527016,6.3711507471997955,0.125,49091.971961602445,1e-10,0.99
cifar10,vgg19_bn,38958922,False,0.1,128,8.0,0.001,124834.16519527016,6.3711507471997955,0.125,49091.971961602445,1e-10,0.99
cifar10,vgg19_bn,38958922,True,0.9396,128,8.0,0.001,1248341.6519527016,6.3711507471997955,0.125,49091.971961602445,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.1,128,8.0,0.001,1248341.6519527016,6.3711507471997955,0.125,49091.971961602445,1e-10,1.0
cifar10,resnet50,23520842,True,0.9366,128,4.0,0.001,96996.581383057,3.1855753735998977,0.125,49091.971961602445,1e-10,1.0
cifar10,resnet50,23520842,False,0.1,128,4.0,0.001,96996.581383057,3.1855753735998977,0.125,49091.971961602445,1e-10,1.0
