dataset,model,num_params,converged,acc,batch_size,clip_norm,beta,gamma,sigma,eps_comp,eps_actual,delta,success_rate
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,4.0,1e-05,12483.416519527016,3.1855753735998977,0.125,490873861.31532466,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.10007047216349542,128,4.0,1e-05,12483.416519527016,3.1855753735998977,0.125,490873861.31532466,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,8.0,1e-05,12483.416519527016,6.3711507471997955,0.125,490873861.31532466,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.10339273129970804,128,8.0,1e-05,12483.416519527016,6.3711507471997955,0.125,490873861.31532466,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,4.0,0.0001,12483.416519527016,3.1855753735998977,0.125,4908745.410568406,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.09966777408637874,128,4.0,0.0001,12483.416519527016,3.1855753735998977,0.125,4908745.410568406,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,8.0,0.0001,12483.416519527016,6.3711507471997955,0.125,4908745.410568406,1e-10,0.99
cifar10,vgg19_bn,38958922,False,0.10037249572133293,128,8.0,0.0001,12483.416519527016,6.3711507471997955,0.125,4908745.410568406,1e-10,0.99
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,4.0,0.001,12483.416519527016,3.1855753735998977,0.125,49091.971961602125,1e-10,0.97
cifar10,vgg19_bn,38958922,False,0.10741971207087486,128,4.0,0.001,12483.416519527016,3.1855753735998977,0.125,49091.971961602125,1e-10,0.99
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,8.0,0.001,12483.416519527016,6.3711507471997955,0.125,49091.971961602125,1e-10,0.97
cifar10,vgg19_bn,38958922,False,0.09856035437430787,128,8.0,0.001,12483.416519527016,6.3711507471997955,0.125,49091.971961602125,1e-10,0.96
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,4.0,1e-05,12483.416519527016,1.5952326304377382,0.25,490873861.31532466,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.10007047216349542,128,4.0,1e-05,12483.416519527016,1.5952326304377382,0.25,490873861.31532466,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,8.0,1e-05,12483.416519527016,3.1904652608754764,0.25,490873861.31532466,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.10027182120205376,128,8.0,1e-05,12483.416519527016,3.1904652608754764,0.25,490873861.31532466,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,4.0,0.0001,12483.416519527016,1.5952326304377382,0.25,4908745.410568406,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.09966777408637874,128,4.0,0.0001,12483.416519527016,1.5952326304377382,0.25,4908745.410568406,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,8.0,0.0001,12483.416519527016,3.1904652608754764,0.25,4908745.410568406,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.08859357696567,128,8.0,0.0001,12483.416519527016,3.1904652608754764,0.25,4908745.410568406,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,4.0,0.001,12483.416519527016,1.5952326304377382,0.25,49091.971961602125,1e-10,0.98
cifar10,vgg19_bn,38958922,False,0.10882915534078325,128,4.0,0.001,12483.416519527016,1.5952326304377382,0.25,49091.971961602125,1e-10,0.97
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,8.0,0.001,12483.416519527016,3.1904652608754764,0.25,49091.971961602125,1e-10,0.97
cifar10,vgg19_bn,38958922,False,0.10409745293466224,128,8.0,0.001,12483.416519527016,3.1904652608754764,0.25,49091.971961602125,1e-10,0.97
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,4.0,1e-05,12483.416519527016,0.800050119415036,0.5,490873861.31532466,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.09050639283197423,128,4.0,1e-05,12483.416519527016,0.800050119415036,0.5,490873861.31532466,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,8.0,1e-05,12483.416519527016,1.600100238830072,0.5,490873861.31532466,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.09996979764421625,128,8.0,1e-05,12483.416519527016,1.600100238830072,0.5,490873861.31532466,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,4.0,0.0001,12483.416519527016,0.800050119415036,0.5,4908745.410568406,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.10037249572133293,128,4.0,0.0001,12483.416519527016,0.800050119415036,0.5,4908745.410568406,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,8.0,0.0001,12483.416519527016,1.600100238830072,0.5,4908745.410568406,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.10882915534078325,128,8.0,0.0001,12483.416519527016,1.600100238830072,0.5,4908745.410568406,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,4.0,0.001,12483.416519527016,0.800050119415036,0.5,49091.971961602125,1e-10,1.0
