dim,beta,gamma,sigma,eps,delta,expect,gm,gpm
256,0.0001,32.0,50.969205977598364,0.125,1e-10,815.5072956415738,811.8769654935746,819.1082158827957
256,0.0001,32.0,25.52372208700381,0.25,1e-10,408.379553392061,404.91154591763706,407.8428580172589
256,0.0001,32.0,12.800801910640576,0.5,1e-10,204.81283057024922,203.92940746910858,206.15979738399955
256,0.0001,32.0,6.438992798538109,1.0,1e-10,103.02388477660975,102.62815975384132,102.15353546436586
4096,0.0001,128.0,50.969205977598364,0.125,1e-10,3262.0291825662953,3263.336490087361,3260.319847771281
4096,0.0001,128.0,25.52372208700381,0.25,1e-10,1633.518213568244,1636.131890679261,1632.9363470767541
4096,0.0001,128.0,12.800801910640576,0.5,1e-10,819.2513222809969,819.8530938888644,819.3136341614029
4096,0.0001,128.0,6.438992798538109,1.0,1e-10,412.095539106439,411.4173509000903,412.545523875253
65536,0.0001,512.0,50.969205977598364,0.125,1e-10,13048.116730265181,13043.710098868025,13044.260706435585
65536,0.0001,512.0,25.52372208700381,0.25,1e-10,6534.072854272976,6536.545093495899,6529.791564450587
65536,0.0001,512.0,12.800801910640576,0.5,1e-10,3277.0052891239875,3277.2362597641004,3276.287761797091
65536,0.0001,512.0,6.438992798538109,1.0,1e-10,1648.382156425756,1648.6799086583821,1648.340236104441
