dataset,model,num_params,converged,acc,batch_size,clip_norm,beta,gamma,sigma,eps_comp,eps_actual,delta,success_rate
mnist,lenet,61706,True,0.9873150105708245,128,4.0,1e-05,496.8138484382254,3.1855753735998977,0.125,490873861.3153243,1e-10,0.64
mnist,lenet,61706,False,0.1206080740964462,128,4.0,1e-05,496.8138484382254,3.1855753735998977,0.125,490873861.3153243,1e-10,1.0
mnist,lenet,61706,True,0.9873150105708245,128,8.0,1e-05,496.8138484382254,6.3711507471997955,0.125,490873861.3153243,1e-10,0.62
mnist,lenet,61706,False,0.09624484043088695,128,8.0,1e-05,496.8138484382254,6.3711507471997955,0.125,490873861.3153243,1e-10,1.0
mnist,lenet,61706,True,0.9873150105708245,128,4.0,0.0001,496.8138484382254,3.1855753735998977,0.125,4908745.410568207,1e-10,0.6
mnist,lenet,61706,False,0.08809020436927413,128,4.0,0.0001,496.8138484382254,3.1855753735998977,0.125,4908745.410568207,1e-10,0.98
mnist,lenet,61706,True,0.9873150105708245,128,8.0,0.0001,496.8138484382254,6.3711507471997955,0.125,4908745.410568207,1e-10,0.65
mnist,lenet,61706,False,0.10369475485754555,128,8.0,0.0001,496.8138484382254,6.3711507471997955,0.125,4908745.410568207,1e-10,0.97
mnist,lenet,61706,True,0.9873150105708245,128,4.0,0.001,496.8138484382254,3.1855753735998977,0.125,49091.97196140355,1e-10,0.56
mnist,lenet,61706,False,0.12312493707842545,128,4.0,0.001,496.8138484382254,3.1855753735998977,0.125,49091.97196140355,1e-10,0.93
mnist,lenet,61706,True,0.9873150105708245,128,8.0,0.001,496.8138484382254,6.3711507471997955,0.125,49091.97196140355,1e-10,0.63
mnist,lenet,61706,False,0.0984596798550287,128,8.0,0.001,496.8138484382254,6.3711507471997955,0.125,49091.97196140355,1e-10,0.86
mnist,lenet,61706,True,0.9873150105708245,128,4.0,1e-05,496.8138484382254,1.5952326304377382,0.25,490873861.3153243,1e-10,0.76
mnist,lenet,61706,False,0.06765327695560254,128,4.0,1e-05,496.8138484382254,1.5952326304377382,0.25,490873861.3153243,1e-10,1.0
mnist,lenet,61706,True,0.9873150105708245,128,8.0,1e-05,496.8138484382254,3.1904652608754764,0.25,490873861.3153243,1e-10,0.53
mnist,lenet,61706,False,0.10450015101177892,128,8.0,1e-05,496.8138484382254,3.1904652608754764,0.25,490873861.3153243,1e-10,1.0
mnist,lenet,61706,True,0.9873150105708245,128,4.0,0.0001,496.8138484382254,1.5952326304377382,0.25,4908745.410568207,1e-10,0.57
mnist,lenet,61706,False,0.05657907983489379,128,4.0,0.0001,496.8138484382254,1.5952326304377382,0.25,4908745.410568207,1e-10,0.99
mnist,lenet,61706,True,0.9873150105708245,128,8.0,0.0001,496.8138484382254,3.1904652608754764,0.25,4908745.410568207,1e-10,0.68
mnist,lenet,61706,False,0.05053860867814356,128,8.0,0.0001,496.8138484382254,3.1904652608754764,0.25,4908745.410568207,1e-10,1.0
mnist,lenet,61706,True,0.9873150105708245,128,4.0,0.001,496.8138484382254,1.5952326304377382,0.25,49091.97196140355,1e-10,0.49
mnist,lenet,61706,False,0.11295681063122924,128,4.0,0.001,496.8138484382254,1.5952326304377382,0.25,49091.97196140355,1e-10,0.98
mnist,lenet,61706,True,0.9873150105708245,128,8.0,0.001,496.8138484382254,3.1904652608754764,0.25,49091.97196140355,1e-10,0.51
mnist,lenet,61706,False,0.14809221785965973,128,8.0,0.001,496.8138484382254,3.1904652608754764,0.25,49091.97196140355,1e-10,0.93
mnist,lenet,61706,True,0.9873150105708245,128,4.0,1e-05,496.8138484382254,0.800050119415036,0.5,490873861.3153243,1e-10,0.7
mnist,lenet,61706,False,0.09574146783449108,128,4.0,1e-05,496.8138484382254,0.800050119415036,0.5,490873861.3153243,1e-10,1.0
mnist,lenet,61706,True,0.9873150105708245,128,8.0,1e-05,496.8138484382254,1.600100238830072,0.5,490873861.3153243,1e-10,0.72
mnist,lenet,61706,False,0.1046008255310581,128,8.0,1e-05,496.8138484382254,1.600100238830072,0.5,490873861.3153243,1e-10,1.0
mnist,lenet,61706,True,0.9873150105708245,128,4.0,0.0001,496.8138484382254,0.800050119415036,0.5,4908745.410568207,1e-10,0.62
mnist,lenet,61706,False,0.1256418000604047,128,4.0,0.0001,496.8138484382254,0.800050119415036,0.5,4908745.410568207,1e-10,1.0
mnist,lenet,61706,True,0.9873150105708245,128,8.0,0.0001,496.8138484382254,1.600100238830072,0.5,4908745.410568207,1e-10,0.57
mnist,lenet,61706,False,0.11527232457465016,128,8.0,0.0001,496.8138484382254,1.600100238830072,0.5,4908745.410568207,1e-10,1.0
mnist,lenet,61706,True,0.9873150105708245,128,4.0,0.001,496.8138484382254,0.800050119415036,0.5,49091.97196140355,1e-10,0.55
mnist,lenet,61706,False,0.10258733514547468,128,4.0,0.001,496.8138484382254,0.800050119415036,0.5,49091.97196140355,1e-10,0.99
mnist,lenet,61706,True,0.9873150105708245,128,8.0,0.001,496.8138484382254,1.600100238830072,0.5,49091.97196140355,1e-10,0.52
mnist,lenet,61706,False,0.11889660726870029,128,8.0,0.001,496.8138484382254,1.600100238830072,0.5,49091.97196140355,1e-10,0.95
mnist,lenet,61706,True,0.9873150105708245,128,4.0,1e-05,496.8138484382254,0.4024370499086318,1.0,490873861.3153243,1e-10,0.79
mnist,lenet,61706,False,0.0854726668680157,128,4.0,1e-05,496.8138484382254,0.4024370499086318,1.0,490873861.3153243,1e-10,1.0
mnist,lenet,61706,True,0.9873150105708245,128,8.0,1e-05,496.8138484382254,0.8048740998172637,1.0,490873861.3153243,1e-10,0.76
mnist,lenet,61706,False,0.1024866606261955,128,8.0,1e-05,496.8138484382254,0.8048740998172637,1.0,490873861.3153243,1e-10,1.0
mnist,lenet,61706,True,0.9873150105708245,128,4.0,0.0001,496.8138484382254,0.4024370499086318,1.0,4908745.410568207,1e-10,0.61
mnist,lenet,61706,False,0.09896305245142455,128,4.0,0.0001,496.8138484382254,0.4024370499086318,1.0,4908745.410568207,1e-10,1.0
mnist,lenet,61706,True,0.9873150105708245,128,8.0,0.0001,496.8138484382254,0.8048740998172637,1.0,4908745.410568207,1e-10,0.57
mnist,lenet,61706,False,0.11305748515050841,128,8.0,0.0001,496.8138484382254,0.8048740998172637,1.0,4908745.410568207,1e-10,1.0
mnist,lenet,61706,True,0.9873150105708245,128,4.0,0.001,496.8138484382254,0.4024370499086318,1.0,49091.97196140355,1e-10,0.57
mnist,lenet,61706,False,0.08235175677036143,128,4.0,0.001,496.8138484382254,0.4024370499086318,1.0,49091.97196140355,1e-10,0.98
mnist,lenet,61706,True,0.9873150105708245,128,8.0,0.001,496.8138484382254,0.8048740998172637,1.0,49091.97196140355,1e-10,0.52
mnist,lenet,61706,False,0.09151313802476593,128,8.0,0.001,496.8138484382254,0.8048740998172637,1.0,49091.97196140355,1e-10,1.0
