dataset,model,num_params,converged,acc,batch_size,clip_norm,beta,gamma,sigma,eps_comp,eps_actual,delta,success_rate
mnist,lenet,61706,True,0.9874,128,4.0,1e-05,496.8138484382254,3.1855753735998977,0.125,490873861.3153243,1e-10,0.58
mnist,lenet,61706,False,0.0973,128,4.0,1e-05,496.8138484382254,3.1855753735998977,0.125,490873861.3153243,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,8.0,1e-05,496.8138484382254,6.3711507471997955,0.125,490873861.3153243,1e-10,0.59
mnist,lenet,61706,False,0.1112,128,8.0,1e-05,496.8138484382254,6.3711507471997955,0.125,490873861.3153243,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,0.0001,496.8138484382254,3.1855753735998977,0.125,4908745.410568207,1e-10,0.55
mnist,lenet,61706,False,0.0941,128,4.0,0.0001,496.8138484382254,3.1855753735998977,0.125,4908745.410568207,1e-10,0.99
mnist,lenet,61706,True,0.9874,128,8.0,0.0001,496.8138484382254,6.3711507471997955,0.125,4908745.410568207,1e-10,0.5
mnist,lenet,61706,False,0.0755,128,8.0,0.0001,496.8138484382254,6.3711507471997955,0.125,4908745.410568207,1e-10,0.99
mnist,lenet,61706,True,0.9874,128,4.0,0.001,496.8138484382254,3.1855753735998977,0.125,49091.97196140355,1e-10,0.54
mnist,lenet,61706,False,0.1055,128,4.0,0.001,496.8138484382254,3.1855753735998977,0.125,49091.97196140355,1e-10,0.95
mnist,lenet,61706,True,0.9874,128,8.0,0.001,496.8138484382254,6.3711507471997955,0.125,49091.97196140355,1e-10,0.45
mnist,lenet,61706,False,0.1603,128,8.0,0.001,496.8138484382254,6.3711507471997955,0.125,49091.97196140355,1e-10,0.87
